ScientificName;VernacularName;UUID
Apus apus (Linnaeus, 1758);Mauersegler;8ac275ca-7a9e-4b65-ab0c-9e78dda18ce0
Buteo buteo (Linnaeus, 1758);Mäusebussard;6efa4c3e-926e-44eb-a25f-c82bffb1abcb
Delichon urbicum (Linnaeus, 1758);Mehlschwalbe;02a8ba19-ee81-4e6f-ac0e-9f9c5edd437a
Turdus viscivorus Linnaeus, 1758;Misteldrossel;d57dfeca-4c16-47a0-a334-76e1a4178d8d
Larus michahellis J.F. Naumann, 1840;Mittelmeermöwe;cb9f105b-f09a-48a3-a906-748078d8dcda
Mergus serrator Linnaeus, 1758;Mittelsäger;09a5d457-6a47-4cde-babf-dba0e2bd46ae
Dendrocopos medius (Linnaeus, 1758);Mittelspecht;e6977f2b-e834-483a-a5dd-490c42810e8e
Sylvia atricapilla (Linnaeus, 1758);Mönchsgrasmücke;aeb1916d-e4d9-4db7-bc62-754f46f03ff7
Aythya nyroca (Güldenstädt, 1770);Moorente;7c25356c-beb9-48d7-aa24-dc9f629c6a8d
Charadrius morinellus Linnaeus, 1758;Mornellregenpfeifer;d7c58dbe-e0c7-4dcb-a633-c562decbbff3
Luscinia megarhynchos C.L. Brehm, 1831;Nachtigall;291662a9-f9b4-4030-b379-415e3191e34c
Nycticorax nycticorax (Linnaeus, 1758);Nachtreiher;6209c979-4d2b-4248-ae15-7449f4c88aa8
Rhea americana (Linnaeus, 1758);Nandu;072b7dc5-8b6a-49c8-9fdb-9aee75555a7d
Corvus cornix Linnaeus, 1758;Nebelkrähe;a3a6b442-0399-4acb-aa49-b2d7f71a4844
Lanius collurio Linnaeus, 1758;Neuntöter;f516947c-e5c7-4357-a3aa-69a7abaa5a1a
Alopochen aegyptiaca (Linnaeus, 1766);Nilgans;502f4b31-993d-4d23-ada3-47f94e405888
Podiceps auritus (Linnaeus, 1758);Ohrentaucher;cee5a6d7-a862-4adf-9a10-4fc649ae6e2d
Hippolais polyglotta (Vieillot, 1817);Orpheusspötter;99bcd899-defd-42d2-8520-a51132d6631a
Emberiza hortulana Linnaeus, 1758;Ortolan;24826cce-6321-4c6d-848b-7712ea5d8051
Fratercula arctica (Linnaeus, 1758);Papageitaucher;b32bdab3-9aa5-4fbc-804e-74b889868c0f
Anas penelope Linnaeus, 1758;Pfeifente;981f189a-3c6d-495a-a022-93a405c0ee47
Oriolus oriolus (Linnaeus, 1758);Pirol;b277e833-39c0-419d-8b21-52015f41610c
Ardea purpurea Linnaeus, 1766;Purpurreiher;dc77da77-8ed1-4925-8ab1-95665fb734a8
Corvus corone Linnaeus, 1758;Rabenkrähe;ddeb8a87-1599-491e-909a-75be76c8f8c2
Hydroprogne caspia (Pallas, 1770);Raubseeschwalbe;c815c9da-cc0a-4ab1-b3cd-284881b7fb73
Lanius excubitor Linnaeus, 1758;Raubwürger;55651b37-c42a-420a-8562-f6b4dc577878
Hirundo rustica Linnaeus, 1758;Rauchschwalbe;482d0d8a-0e1a-4b8f-9358-db77a9ce87dd
Aegolius funereus (Linnaeus, 1758);Raufußkauz;b7804be8-44e6-49ef-b81a-662fd98dd080
Perdix perdix (Linnaeus, 1758);Rebhuhn;3df0d6e9-5f52-4509-a8db-39e0038459df
Aythya fuligula (Linnaeus, 1758);Reiherente;021e4409-ef96-44ee-995c-7ac225119cd8
Turdus torquatus Linnaeus, 1758;Ringdrossel;c5ae7017-7786-469a-9f1f-ff20a2c41685
Columba palumbus Linnaeus, 1758;Ringeltaube;ebed8d8a-5166-4388-a145-cc7c6e3c2e64
Emberiza schoeniclus (Linnaeus, 1758);Rohrammer;04151f8c-34d3-43b1-a9d7-171ea95e94d5
Botaurus stellaris (Linnaeus, 1758);Rohrdommel;96963488-a149-43d7-a627-e05b38091fcb
Locustella luscinioides (Savi, 1824);Rohrschwirl;93453f7c-2cf2-4ad1-9a2c-1e87da3442fc
Circus aeruginosus (Linnaeus, 1758);Rohrweihe;e8dbc77b-08e4-4886-9496-72d3851d207c
Phoenicopterus roseus Pallas, 1811;Rosaflamingo;5fc4841b-2c0c-4bc4-a2fc-1a94451a5d8e
Sterna dougallii Montagu, 1813;Rosenseeschwalbe;c4130cef-a5f6-4084-a899-c93ff47b9a41
Tadorna ferruginea (Pallas, 1764);Rostgans;64053096-76d1-4265-8bca-8be2e87ac1e7
Podiceps grisegena (Boddaert, 1783);Rothalstaucher;8011623c-36e7-467c-917e-f93aa3405050
Alectoris rufa (Linnaeus, 1758);Rothuhn;c891a231-0953-45fd-b9d7-c493dae9d127
Erithacus rubecula (Linnaeus, 1758);Rotkehlchen;c490b83b-3cfe-434a-94e7-ee6af54ab77b
